"ID";"N_LAB";"AREA";"LONG";"LAT";"NUM_CAMPO";"PROJETO";"CLASSE";"Lab";"BASE";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"LA_PPM";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"PB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"F_PPM";"U_PPM";"CA_PCT";"FE_PCT";"MG_PCT";"TI_PCT"
11;"DBX285";"cartas_100M";-51.492004261;-3.856138203;"1511-AV-S-024";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"11,2";;;;;;;;;;;;
12;"DBX285";"cartas_100M";-51.492004261;-3.856138203;"1511-AV-S-024";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"300";"< 1";"ND";"ND";"10";"70";"15";"500";"500";"ND";"10";"15";"100";"ND";"15";"< 10";"ND";"100";"ND";"50";"ND";"> 1000";;;"0,05";"2";"0,1";"> 1"
13;"DBX286";"cartas_100M";-51.464775345;-3.869449021;"1511-AV-S-025";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"DBX286";"cartas_100M";-51.464775345;-3.869449021;"1511-AV-S-025";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"3";;;;;;;;;;;;
15;"DBX286";"cartas_100M";-51.464775345;-3.869449021;"1511-AV-S-025";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"200";"< 1";"ND";"ND";"15";"30";"5";"70";"300";"ND";"10";"< 5";"50";"ND";"10";"ND";"ND";"70";"ND";"30";"ND";"> 1000";;;"< 0,05";"2";"0,02";"> 1"
16;"DBX287";"cartas_100M";-51.409308856;-3.878105459;"1511-AV-S-026";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;"DBX287";"cartas_100M";-51.409308856;-3.878105459;"1511-AV-S-026";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"3,4";;;;;;;;;;;;
18;"DBX287";"cartas_100M";-51.409308856;-3.878105459;"1511-AV-S-026";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"200";"< 1";"ND";"ND";"10";"50";"15";"70";"500";"ND";"10";"10";"70";"ND";"10";"ND";"ND";"100";"ND";"30";"ND";"500";;;"0,05";"3";"0,05";"> 1"
19;"DBX288";"cartas_100M";-51.503854628;-3.872526581;"1511-AV-S-027";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;"DBX288";"cartas_100M";-51.503854628;-3.872526581;"1511-AV-S-027";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"9,6";;;;;;;;;;;;
21;"DBX288";"cartas_100M";-51.503854628;-3.872526581;"1511-AV-S-027";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"300";"< 1";"ND";"ND";"15";"30";"5";"150";"500";"ND";"15";"5";"70";"ND";"10";"ND";"100";"70";"ND";"30";"ND";"1000";;;"0,1";"2";"0,1";"> 1"
22;"DBX289";"cartas_100M";-51.510952748;-3.767234255;"1511-AV-S-031";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;"DBX289";"cartas_100M";-51.510952748;-3.767234255;"1511-AV-S-031";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"1,4";;;;;;;;;;;;
24;"DBX289";"cartas_100M";-51.510952748;-3.767234255;"1511-AV-S-031";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"15";"200";"< 1";"ND";"ND";"50";"150";"20";"20";"200";"ND";"10";"70";"30";"ND";"20";"ND";"ND";"200";"ND";"50";"ND";"> 1000";;;"0,05";"7";"0,15";"1"
25;"DBX290";"cartas_100M";-51.58917917;-3.793730512;"1511-AV-S-032";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"1,9";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;"DBX290";"cartas_100M";-51.58917917;-3.793730512;"1511-AV-S-032";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"4,2";;;;;;;;;;;;
27;"DBX290";"cartas_100M";-51.58917917;-3.793730512;"1511-AV-S-032";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"300";"< 1";"ND";"ND";"15";"100";"10";"50";"500";"ND";"10";"10";"50";"ND";"15";"< 10";"100";"70";"ND";"30";"ND";"1000";;;"0,05";"5";"0,1";"> 1"
28;"DBX291";"cartas_100M";-51.62216561;-3.588577123;"1511-AV-S-050";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;"DBX291";"cartas_100M";-51.62216561;-3.588577123;"1511-AV-S-050";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"2";;;;;;;;;;;;
30;"DBX291";"cartas_100M";-51.62216561;-3.588577123;"1511-AV-S-050";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"300";"< 1";"ND";"ND";"< 5";"20";"5";"100";"150";"ND";"10";"5";"15";"ND";"5";"ND";"100";"50";"ND";"15";"ND";"1000";;;"0,05";"0,7";"7,0000000000000007E-2";"0,5"
31;"DBX292";"cartas_100M";-51.651367841;-3.583003754;"1511-AV-S-051";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;"DBX292";"cartas_100M";-51.651367841;-3.583003754;"1511-AV-S-051";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"1,6";;;;;;;;;;;;
33;"DBX292";"cartas_100M";-51.651367841;-3.583003754;"1511-AV-S-051";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"15";"200";"< 1";"ND";"ND";"10";"150";"20";"50";"150";"ND";"10";"30";"50";"ND";"20";"< 10";"ND";"100";"ND";"20";"ND";"1000";;;"< 0,05";"7";"0,1";"1"
34;"DBX293";"cartas_100M";-51.674254828;-3.560394154;"1511-AV-S-052";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;"DBX293";"cartas_100M";-51.674254828;-3.560394154;"1511-AV-S-052";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"1,2";;;;;;;;;;;;
36;"DBX293";"cartas_100M";-51.674254828;-3.560394154;"1511-AV-S-052";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"300";"< 1";"ND";"ND";"7";"70";"5";"20";"200";"ND";"10";"10";"20";"ND";"7";"ND";"ND";"50";"ND";"15";"ND";"1000";;;"0,05";"2";"0,05";"1"
37;"DBX294";"cartas_100M";-51.620464991;-3.111424933;"1511-AV-S-053";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;"DBX294";"cartas_100M";-51.620464991;-3.111424933;"1511-AV-S-053";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"4,4000000000000004";;;;;;;;;;;;
39;"DBX294";"cartas_100M";-51.620464991;-3.111424933;"1511-AV-S-053";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"300";"< 1";"ND";"ND";"7";"70";"7";"30";"150";"< 5";"10";"15";"20";"ND";"7";"< 10";"ND";"100";"ND";"20";"ND";"1000";;;"7,0000000000000007E-2";"2";"0,15";"0,5"
40;"DBX295";"cartas_100M";-51.588801018;-3.133836901;"1511-AV-S-054";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;"DBX295";"cartas_100M";-51.588801018;-3.133836901;"1511-AV-S-054";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"1,4";;;;;;;;;;;;
42;"DBX295";"cartas_100M";-51.588801018;-3.133836901;"1511-AV-S-054";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"200";"< 1";"ND";"ND";"10";"150";"7";"20";"150";"ND";"< 10";"30";"50";"ND";"15";"ND";"ND";"100";"ND";"10";"ND";"200";;;"< 0,05";"5";"0,05";"0,5"
43;"DBX296";"cartas_100M";-51.572442633;-3.152283801;"1511-AV-S-055";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"0,1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;"DBX296";"cartas_100M";-51.572442633;-3.152283801;"1511-AV-S-055";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"1";;;;;;;;;;;;
45;"DBX296";"cartas_100M";-51.572442633;-3.152283801;"1511-AV-S-055";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"300";"ND";"ND";"ND";"20";"100";"5";"20";"500";"ND";"< 10";"20";"50";"ND";"15";"ND";"< 100";"100";"ND";"20";"ND";"150";;;"0,05";"7";"0,2";"> 1"
46;"DBX297";"cartas_100M";-51.559371974;-3.169801873;"1511-AV-S-056";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;"DBX297";"cartas_100M";-51.559371974;-3.169801873;"1511-AV-S-056";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"3";;;;;;;;;;;;
48;"DBX297";"cartas_100M";-51.559371974;-3.169801873;"1511-AV-S-056";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"200";"< 1";"ND";"ND";"5";"70";"5";"20";"150";"ND";"< 10";"20";"10";"ND";"7";"ND";"ND";"100";"ND";"10";"ND";"1000";;;"< 0,05";"2";"0,05";"0,5"
49;"DBX298";"cartas_100M";-51.54421656;-3.183612056;"1511-AV-S-057";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;"DBX298";"cartas_100M";-51.54421656;-3.183612056;"1511-AV-S-057";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"6,2";;;;;;;;;;;;
51;"DBX298";"cartas_100M";-51.54421656;-3.183612056;"1511-AV-S-057";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"500";"ND";"ND";"ND";"7";"50";"< 5";"20";"200";"ND";"< 10";"15";"20";"ND";"15";"< 10";"100";"70";"ND";"30";"ND";"> 1000";;;"0,1";"2";"0,1";"1"
52;"DBX299";"cartas_100M";-51.538446771;-3.20330061;"1511-AV-S-058";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;"DBX299";"cartas_100M";-51.538446771;-3.20330061;"1511-AV-S-058";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"3,6";;;;;;;;;;;;
54;"DBX299";"cartas_100M";-51.538446771;-3.20330061;"1511-AV-S-058";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"300";"< 1";"ND";"ND";"7";"50";"5";"20";"200";"ND";"< 10";"10";"20";"ND";"7";"< 10";"ND";"100";"ND";"20";"ND";"1000";;;"0,05";"5";"0,1";"1"
55;"DBX300";"cartas_100M";-51.462077243;-3.221543776;"1511-AV-S-059";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;"DBX300";"cartas_100M";-51.462077243;-3.221543776;"1511-AV-S-059";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"2,6";;;;;;;;;;;;
57;"DBX300";"cartas_100M";-51.462077243;-3.221543776;"1511-AV-S-059";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"200";"< 1";"ND";"ND";"50";"200";"10";"50";"500";"ND";"< 10";"70";"50";"ND";"20";"ND";"500";"100";"ND";"30";"ND";"200";;;"2";"10";"2";"> 1"
58;"DBX301";"cartas_100M";-51.444163193;-3.243036306;"1511-AV-S-060";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;"DBX301";"cartas_100M";-51.444163193;-3.243036306;"1511-AV-S-060";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"1,2";;;;;;;;;;;;
60;"DBX301";"cartas_100M";-51.444163193;-3.243036306;"1511-AV-S-060";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"200";"< 1";"ND";"ND";"10";"50";"5";"20";"300";"ND";"< 10";"15";"20";"ND";"7";"ND";"< 100";"70";"ND";"20";"ND";"1000";;;"0,1";"3";"0,1";"> 1"
61;"DBX302";"cartas_100M";-51.352187495;-3.313378201;"1511-AV-S-061";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;"DBX302";"cartas_100M";-51.352187495;-3.313378201;"1511-AV-S-061";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"5";;;;;;;;;;;;
63;"DBX302";"cartas_100M";-51.352187495;-3.313378201;"1511-AV-S-061";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"700";"< 1";"ND";"ND";"20";"70";"10";"50";"300";"ND";"10";"20";"100";"ND";"15";"< 10";"100";"70";"ND";"20";"ND";"1000";;;"0,05";"3";"0,1";"1"
64;"DBX303";"cartas_100M";-51.544680956;-3.261628564;"1511-AV-S-062";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;"DBX303";"cartas_100M";-51.544680956;-3.261628564;"1511-AV-S-062";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"6,4";;;;;;;;;;;;
66;"DBX303";"cartas_100M";-51.544680956;-3.261628564;"1511-AV-S-062";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"500";"< 1";"ND";"ND";"20";"70";"10";"30";"200";"ND";"< 10";"20";"100";"ND";"10";"< 10";"100";"100";"ND";"15";"ND";"500";;;"0,1";"3";"0,1";"0,7"
67;"DBX304";"cartas_100M";-51.38308263;-3.30482257;"1511-AV-S-063";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;"DBX304";"cartas_100M";-51.38308263;-3.30482257;"1511-AV-S-063";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"1,8";;;;;;;;;;;;
69;"DBX304";"cartas_100M";-51.38308263;-3.30482257;"1511-AV-S-063";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"500";"< 1";"ND";"ND";"10";"50";"5";"100";"500";"ND";"< 10";"5";"70";"ND";"10";"ND";"100";"50";"ND";"20";"ND";"> 1000";;;"7,0000000000000007E-2";"3";"0,05";"> 1"
70;"DBX305";"cartas_100M";-51.38530304;-3.392030127;"1511-AV-S-064";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;"DBX305";"cartas_100M";-51.38530304;-3.392030127;"1511-AV-S-064";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"6,6";;;;;;;;;;;;
72;"DBX305";"cartas_100M";-51.38530304;-3.392030127;"1511-AV-S-064";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"700";"< 1";"ND";"ND";"7";"50";"< 5";"50";"300";"ND";"< 10";"15";"70";"ND";"15";"ND";"200";"50";"ND";"20";"ND";"> 1000";;;"0,05";"2";"0,05";"> 1"
73;"DBX306";"cartas_100M";-51.365738089;-3.35687088;"1511-AV-S-065";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"< 0,05";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;"DBX306";"cartas_100M";-51.365738089;-3.35687088;"1511-AV-S-065";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"1";;;;;;;;;;;;
75;"DBX306";"cartas_100M";-51.365738089;-3.35687088;"1511-AV-S-065";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"300";"< 1";"ND";"ND";"10";"50";"10";"< 20";"300";"ND";"< 10";"15";"50";"ND";"15";"ND";"ND";"50";"ND";"15";"ND";"1000";;;"< 0,05";"5";"0,03";"1"
76;"DBX307";"cartas_100M";-51.331109176;-3.282764553;"1511-AV-S-066";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;"DBX307";"cartas_100M";-51.331109176;-3.282764553;"1511-AV-S-066";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - Sublimação KI";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;"< 1";;;;;;;;;;;;
